"Filename","Spell","Level","School","Prompt"
"Acid Splash.png","Acid Splash","0","Conjuration","Acid splashes a creature it cannot dodge. Rendered in sickly green corrosion. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Chill Touch.png","Chill Touch","0","Necromancy","A spectral hand grips the target. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Fire Bolt.png","Fire Bolt","0","Evocation","A mote of fire hurled at a target. Rendered in orange and gold flame. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Poison Spray.png","Poison Spray","0","Conjuration","A puff of noxious gas. Rendered in sickly green corrosion. Something summoned into being. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Ray of Frost.png","Ray of Frost","0","Evocation","A freezing beam that slows its target. Rendered in pale blue ice and frost. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Sacred Flame.png","Sacred Flame","0","Evocation","Radiance descends on a creature, ignoring cover. Rendered in orange and gold flame. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Shocking Grasp.png","Shocking Grasp","0","Evocation","Lightning leaps from your hand on touch. Rendered in white-blue lightning. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Thorn Whip.png","Thorn Whip","0","Transmutation","A vine lashes out and pulls the target closer. Matter or form being changed. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Toll the Dead.png","Toll the Dead","0","Necromancy","A mournful bell tolls for the target. Grim, touching on death. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Vicious Mockery.png","Vicious Mockery","0","Enchantment","An insult laced with enchantment. An influence over another's will. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
"Eldritch Blast.png","Eldritch Blast","0","Evocation","A beam of crackling energy. Raw destructive energy. Fantasy game spell icon, single centred subject glowing against a near-black background, painted digital art with strong rim light, no text, no border, no frame, square composition."
